,antecedents,consequents
0,frozenset({'692'}),frozenset({'697'})
1,frozenset({'697'}),frozenset({'692'})
2,frozenset({'2867'}),frozenset({'2869'})
3,frozenset({'1358'}),frozenset({'1359'})
4,"frozenset({'1768', '1934'})",frozenset({'1927'})
5,"frozenset({'1768', '1927'})",frozenset({'1934'})
6,"frozenset({'1930', '1934'})",frozenset({'1935'})
7,"frozenset({'1939', '1930'})",frozenset({'1935'})
8,"frozenset({'1939', '1934'})",frozenset({'1935'})
9,"frozenset({'1939', '1937'})",frozenset({'1935'})
10,frozenset({'1359'}),frozenset({'1358'})
11,frozenset({'1939'}),frozenset({'1935'})
12,frozenset({'2869'}),frozenset({'2867'})
13,frozenset({'2605'}),frozenset({'1532'})
14,"frozenset({'1935', '1937'})",frozenset({'1939'})
15,frozenset({'2690'}),frozenset({'3694'})
16,frozenset({'1767'}),frozenset({'1753'})
17,frozenset({'1753'}),frozenset({'1767'})
18,frozenset({'1743'}),frozenset({'1768'})
19,frozenset({'3756'}),frozenset({'3760'})
20,frozenset({'3275'}),frozenset({'1600'})
21,"frozenset({'1927', '1934'})",frozenset({'1768'})
22,"frozenset({'1935', '1930'})",frozenset({'1939'})
23,frozenset({'724'}),frozenset({'1659'})
24,frozenset({'726'}),frozenset({'1659'})
25,"frozenset({'1935', '1927'})",frozenset({'1934'})
26,"frozenset({'1935', '1930'})",frozenset({'1934'})
27,"frozenset({'1927', '1934'})",frozenset({'1935'})
28,frozenset({'1930'}),frozenset({'1935'})
29,frozenset({'1532'}),frozenset({'2605'})
